word,pair,type,freq,file,register
less,more/less,subtract,4600,w_acad_2007.txt,academic
most,most/least,add,5931,w_acad_2007.txt,academic
least,most/least,subtract,1282,w_acad_2007.txt,academic
many,many/few,add,4118,w_acad_2007.txt,academic
few,many/few,subtract,1786,w_acad_2007.txt,academic
increase,increase/decrease,add,2465,w_acad_2007.txt,academic
decrease,increase/decrease,subtract,469,w_acad_2007.txt,academic
add,add/subtract,add,4284,w_acad_2008.txt,academic
subtract,add/subtract,subtract,29,w_acad_2008.txt,academic
addition,addition/subtraction,add,1787,w_acad_2008.txt,academic
subtraction,addition/subtraction,subtract,3,w_acad_2008.txt,academic
plus,plus/minus,add,184,w_acad_2008.txt,academic
minus,plus/minus,subtract,25,w_acad_2008.txt,academic
more,more/less,add,10684,w_acad_2008.txt,academic
less,more/less,subtract,4465,w_acad_2008.txt,academic
most,most/least,add,5276,w_acad_2008.txt,academic
least,most/least,subtract,1161,w_acad_2008.txt,academic
many,many/few,add,3737,w_acad_2008.txt,academic
few,many/few,subtract,1484,w_acad_2008.txt,academic
increase,increase/decrease,add,2262,w_acad_2008.txt,academic
decrease,increase/decrease,subtract,424,w_acad_2008.txt,academic
add,add/subtract,add,4339,w_acad_2009.txt,academic
subtract,add/subtract,subtract,34,w_acad_2009.txt,academic
addition,addition/subtraction,add,1615,w_acad_2009.txt,academic
subtraction,addition/subtraction,subtract,6,w_acad_2009.txt,academic
plus,plus/minus,add,134,w_acad_2009.txt,academic
minus,plus/minus,subtract,15,w_acad_2009.txt,academic
more,more/less,add,9229,w_acad_2009.txt,academic
less,more/less,subtract,4180,w_acad_2009.txt,academic
most,most/least,add,5078,w_acad_2009.txt,academic
least,most/least,subtract,969,w_acad_2009.txt,academic
many,many/few,add,3587,w_acad_2009.txt,academic
few,many/few,subtract,1492,w_acad_2009.txt,academic
increase,increase/decrease,add,1912,w_acad_2009.txt,academic
decrease,increase/decrease,subtract,343,w_acad_2009.txt,academic
add,add/subtract,add,3721,w_acad_2010.txt,academic
subtract,add/subtract,subtract,24,w_acad_2010.txt,academic
addition,addition/subtraction,add,1336,w_acad_2010.txt,academic
subtraction,addition/subtraction,subtract,13,w_acad_2010.txt,academic
plus,plus/minus,add,171,w_acad_2010.txt,academic
minus,plus/minus,subtract,19,w_acad_2010.txt,academic
more,more/less,add,8964,w_acad_2010.txt,academic
less,more/less,subtract,4074,w_acad_2010.txt,academic
most,most/least,add,4822,w_acad_2010.txt,academic
least,most/least,subtract,988,w_acad_2010.txt,academic
many,many/few,add,3428,w_acad_2010.txt,academic
few,many/few,subtract,1354,w_acad_2010.txt,academic
increase,increase/decrease,add,1770,w_acad_2010.txt,academic
decrease,increase/decrease,subtract,293,w_acad_2010.txt,academic
add,add/subtract,add,4627,w_acad_2011.txt,academic
subtract,add/subtract,subtract,24,w_acad_2011.txt,academic
addition,addition/subtraction,add,1663,w_acad_2011.txt,academic
subtraction,addition/subtraction,subtract,3,w_acad_2011.txt,academic
plus,plus/minus,add,216,w_acad_2011.txt,academic
minus,plus/minus,subtract,34,w_acad_2011.txt,academic
more,more/less,add,10073,w_acad_2011.txt,academic
less,more/less,subtract,4874,w_acad_2011.txt,academic
most,most/least,add,4821,w_acad_2011.txt,academic
least,most/least,subtract,1095,w_acad_2011.txt,academic
many,many/few,add,3671,w_acad_2011.txt,academic
few,many/few,subtract,1536,w_acad_2011.txt,academic
increase,increase/decrease,add,2484,w_acad_2011.txt,academic
decrease,increase/decrease,subtract,378,w_acad_2011.txt,academic
add,add/subtract,add,2560,w_acad_2012.txt,academic
subtract,add/subtract,subtract,6,w_acad_2012.txt,academic
addition,addition/subtraction,add,1151,w_acad_2012.txt,academic
subtraction,addition/subtraction,subtract,0,w_acad_2012.txt,academic
plus,plus/minus,add,115,w_acad_2012.txt,academic
minus,plus/minus,subtract,18,w_acad_2012.txt,academic
more,more/less,add,5093,w_acad_2012.txt,academic
less,more/less,subtract,2121,w_acad_2012.txt,academic
most,most/least,add,2571,w_acad_2012.txt,academic
least,most/least,subtract,627,w_acad_2012.txt,academic
many,many/few,add,1704,w_acad_2012.txt,academic
few,many/few,subtract,736,w_acad_2012.txt,academic
increase,increase/decrease,add,1704,w_acad_2012.txt,academic
decrease,increase/decrease,subtract,358,w_acad_2012.txt,academic
add,add/subtract,add,4067,w_mag_1990.txt,magazine
subtract,add/subtract,subtract,26,w_mag_1990.txt,magazine
addition,addition/subtraction,add,899,w_mag_1990.txt,magazine
subtraction,addition/subtraction,subtract,3,w_mag_1990.txt,magazine
plus,plus/minus,add,490,w_mag_1990.txt,magazine
minus,plus/minus,subtract,51,w_mag_1990.txt,magazine
more,more/less,add,10736,w_mag_1990.txt,magazine
less,more/less,subtract,4932,w_mag_1990.txt,magazine
most,most/least,add,7355,w_mag_1990.txt,magazine
least,most/least,subtract,1465,w_mag_1990.txt,magazine
many,many/few,add,4530,w_mag_1990.txt,magazine
few,many/few,subtract,2497,w_mag_1990.txt,magazine
increase,increase/decrease,add,1238,w_mag_1990.txt,magazine
decrease,increase/decrease,subtract,99,w_mag_1990.txt,magazine
add,add/subtract,add,3699,w_mag_1991.txt,magazine
subtract,add/subtract,subtract,33,w_mag_1991.txt,magazine
addition,addition/subtraction,add,883,w_mag_1991.txt,magazine
subtraction,addition/subtraction,subtract,4,w_mag_1991.txt,magazine
plus,plus/minus,add,475,w_mag_1991.txt,magazine
minus,plus/minus,subtract,76,w_mag_1991.txt,magazine
more,more/less,add,10868,w_mag_1991.txt,magazine
less,more/less,subtract,5161,w_mag_1991.txt,magazine
most,most/least,add,7580,w_mag_1991.txt,magazine
least,most/least,subtract,1634,w_mag_1991.txt,magazine
many,many/few,add,4458,w_mag_1991.txt,magazine
few,many/few,subtract,2739,w_mag_1991.txt,magazine
increase,increase/decrease,add,1373,w_mag_1991.txt,magazine
decrease,increase/decrease,subtract,135,w_mag_1991.txt,magazine
add,add/subtract,add,3480,w_mag_1992.txt,magazine
subtract,add/subtract,subtract,27,w_mag_1992.txt,magazine
addition,addition/subtraction,add,887,w_mag_1992.txt,magazine
subtraction,addition/subtraction,subtract,2,w_mag_1992.txt,magazine
plus,plus/minus,add,380,w_mag_1992.txt,magazine
minus,plus/minus,subtract,48,w_mag_1992.txt,magazine
more,more/less,add,11253,w_mag_1992.txt,magazine
